expo,table,project,sponsors,link,category,special
1,51,ThinkVR,"Best Use of Postmates API, Best Medical Hack, Best Hardware Hack, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49406-thinkvr,,
1,2,InfinityEncryption,"Best Synaptics Hack - Touch [Synaptics], Caltech Fund Social Good Prize [Caltech Fund], Best Education Hack, Coolest Developer Tool, Best Hardware Hack",http://hacktech.devpost.com/submissions/49455-infinityencryption,,
1,3,Technior Ed,"Caltech Fund Social Good Prize [Caltech Fund], Best Education Hack",http://hacktech.devpost.com/submissions/49472-technior-ed,,
1,4,If-bot && NodePromptManager,"Most Useful Prompt Command, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49512-if-bot-nodepromptmanager,,
1,5,OneTouch,Best Synaptics Hack - Fingerprint [Synaptics],http://hacktech.devpost.com/submissions/49516-onetouch,,
1,6,Enterprise Social Network,"Most Useful Prompt Command, Caltech Fund Social Good Prize [Caltech Fund], Coolest Developer Tool, Best Use of Twilio API [Twilio]",http://hacktech.devpost.com/submissions/49575-enterprise-social-network,,
1,7,Eyeronic,Caltech Fund Social Good Prize [Caltech Fund],http://hacktech.devpost.com/submissions/49578-eyeronic,,
1,8,Note-ation,"Best Education Hack, Best Hardware Hack",http://hacktech.devpost.com/submissions/49580-note-ation,,
1,9,Phantom,"Best Hardware Hack, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49653-phantom,,
1,10,minify(WallStreet),"Gamify Wallstreet by Quantiacs, Best Use of Amazon Web Services (AWS), Caltech Fund Social Good Prize [Caltech Fund], Best Hack on .TECH Domain , Best Use of Big Data, Machine Learning, or Data Processing by Taboola, Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49663-minify-wallstreet,,
1,11,mini_jarvis,"Best Synaptics Hack - Touch [Synaptics], Coolest Developer Tool, Best Medical Hack, Best Hardware Hack",http://hacktech.devpost.com/submissions/49673-mini_jarvis,,
1,12,H-Auth,"Best Synaptics Hack - Touch [Synaptics], Best Use of Twilio API [Twilio], Best Use of Big Data, Machine Learning, or Data Processing by Taboola, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49677-h-auth,,
1,13,Crowd Investor,"Gamify Wallstreet by Quantiacs, Most Useful Prompt Command, Best Hack on .TECH Domain , Best Use of Twilio API [Twilio], Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49725-crowd-investor,,
1,14,ALMD,"Caltech Fund Social Good Prize [Caltech Fund], Best Medical Hack, Best Hardware Hack, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49735-almd,,
1,15,VeriMark,"Best Synaptics Hack - Fingerprint [Synaptics], Best Hardware Hack",http://hacktech.devpost.com/submissions/49738-verimark,,
1,16,gitatme,"Best Use of Amazon Web Services (AWS), Coolest Developer Tool, Best Sports/Entertainment Hack",http://hacktech.devpost.com/submissions/49740-gitatme,,
1,17,Elas.tech,"Best Hack on .TECH Domain , Coolest Developer Tool, Best Sports/Entertainment Hack, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49743-elas-tech,,
1,18,TheDonald,"Most Useful Prompt Command, Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49744-thedonald,,
1,52,WizardsInPyjamas,"Best Hardware Hack, Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49753-wizardsinpyjamas,,
1,20,The Race Condition,"Best Use of Postmates API, Best Use of Amazon Web Services (AWS), Best Use of Twilio API [Twilio], Best Sports/Entertainment Hack, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49754-the-race-condition,,
1,21,Randus Procederus,,http://hacktech.devpost.com/submissions/49756-randus-procederus,,
1,22,P!ng,,http://hacktech.devpost.com/submissions/49757-p-ng,,
1,23,Polisense,"Best Use of Amazon Web Services (AWS), Best Hack on .TECH Domain , Best Education Hack, Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology, Hack on Best Domain Name",http://hacktech.devpost.com/submissions/49759-polisense,,
1,24,BookShelf,"Best Education Hack, Best Use of Twilio API [Twilio], Best Sports/Entertainment Hack, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49760-bookshelf,,
1,25,BioPass,"Best Synaptics Hack - Fingerprint [Synaptics], Best Hardware Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola",http://hacktech.devpost.com/submissions/49765-biopass,,
1,26,Heal,"Most Useful Prompt Command, Best Use of Wolfram Technology, Best Use of Twilio API [Twilio]",http://hacktech.devpost.com/submissions/49766-heal,,
1,50,Neck Doctor,"Caltech Fund Social Good Prize [Caltech Fund], Best Use of Wolfram Technology, Best Use of Twilio API [Twilio], Best Medical Hack, Best Hardware Hack, Best Use of Big Data, Machine Learning, or Data Processing by Taboola, Best Overall Use of Microsoft Technology",http://hacktech.devpost.com/submissions/49768-neck-doctor,,
